cod_departamento,departamento,hacinamiento,servicios,vivienda,personas_nbi,inasistencia,miseria,anio,cod_municipio,municipio,clase
"41","HUILA","3,77","2,48","2,85","13,78","0,72","1,71","2018","41872","VILLAVIEJA","Total",
"41","HUILA","1,22","0,99","1,89","9,25","0,46","1,29","2018","41885","YAGUARA","Total",
"41","HUILA","1,66","0,2","3,3","7,16","1,12","1,08","2018","41001","NEIVA","Cabecera municipal",
"41","HUILA","3,53","0,88","4,75","12,9","0,53","1,71","2018","41006","ACEVEDO","Cabecera municipal",
"41","HUILA","2,98","1,46","7,74","17,52","0,66","2,85","2018","41013","AGRADO","Cabecera municipal",
"41","HUILA","2,53","0,72","7,22","14,28","0,63","2,62","2018","41016","AIPE","Cabecera municipal",
"41","HUILA","3,6","4,3","10,97","18,7","1,39","5,08","2018","41020","ALGECIRAS","Cabecera municipal",
"41","HUILA","2,56","0,21","3,15","8,69","0,34","0,42","2018","41026","ALTAMIRA","Cabecera municipal",
"41","HUILA","0,81","0,72","6,99","15,6","1,13","1,5","2018","41078","BARAYA","Cabecera municipal",
"41","HUILA","2,89","0,54","6,58","12,77","1,02","2,18","2018","41132","CAMPOALEGRE","Cabecera municipal",
"41","HUILA","2,05","1,19","4,63","13,16","0","2,67","2018","41206","COLOMBIA","Cabecera municipal",
"41","HUILA","1,85","0,37","1,26","8,29","0","0,81","2018","41244","ELIAS","Cabecera municipal",
"41","HUILA","2,29","1,45","4,58","11","1,39","1,46","2018","41298","GARZON","Cabecera municipal",
"41","HUILA","2,36","1,34","3,98","10,84","0,77","1,8","2018","41306","GIGANTE","Cabecera municipal",
"41","HUILA","2,21","0,29","8,78","15,26","0,94","1,74","2018","41319","GUADALUPE","Cabecera municipal",
"41","HUILA","2,96","0,61","8,66","13,93","0,99","2,8","2018","41349","HOBO","Cabecera municipal",
"41","HUILA","6,67","1,2","5,39","16,87","0,43","4,54","2018","41357","IQUIRA","Cabecera municipal",
"41","HUILA","3,02","1,86","4,77","11,3","0,4","2,08","2018","41359","ISNOS","Cabecera municipal",
"41","HUILA","2,94","1,8","8,02","15,7","1,03","3,02","2018","41378","LA ARGENTINA","Cabecera municipal",
"41","HUILA","3,01","1,14","5,54","11,29","0,72","1,77","2018","41396","LA PLATA","Cabecera municipal",
"41","HUILA","5,11","2,43","5,89","12,7","0,82","3,63","2018","41483","NATAGA","Cabecera municipal",
"41","HUILA","3,18","1,78","2,93","13,55","0,3","0,98","2018","41503","OPORAPA","Cabecera municipal",
"41","HUILA","0,68","0,04","2,12","5,63","0,53","0","2018","41518","PAICOL","Cabecera municipal",
"41","HUILA","1,64","1,07","7,16","13,66","1,4","2,11","2018","41524","PALERMO","Cabecera municipal",
"41","HUILA","3,83","1,16","6,28","15,28","0,99","1,69","2018","41530","PALESTINA","Cabecera municipal",
"41","HUILA","1,95","2,35","3,86","10,28","1,2","1,51","2018","41548","PITAL","Cabecera municipal",
"41","HUILA","2","0,43","1,83","7,85","1,01","0,92","2018","41551","PITALITO","Cabecera municipal",
"41","HUILA","1,68","0,35","6,44","11,8","1","1,45","2018","41615","RIVERA","Cabecera municipal",
"41","HUILA","3,98","0,99","2,87","12,92","1,05","1,49","2018","41660","SALADOBLANCO","Cabecera municipal",
"41","HUILA","3,79","0,64","2,54","9,69","1,12","1,37","2018","41668","SAN AGUSTIN","Cabecera municipal",
"41","HUILA","4,6","2,06","3,61","12,57","0,75","2,34","2018","41676","SANTA MARIA","Cabecera municipal",
"41","HUILA","1,93","0,93","2,6","7","0,63","0,75","2018","41770","SUAZA","Cabecera municipal",
"41","HUILA","2,15","0,8","1,82","9,3","0,25","1","2018","41791","TARQUI","Cabecera municipal",
"41","HUILA","2,48","1,05","2,16","9,44","0,67","1,64","2018","41797","TESALIA","Cabecera municipal",
"41","HUILA","5,44","1,32","7,75","19,78","0,91","4,16","2018","41799","TELLO","Cabecera municipal",
"41","HUILA","1,37","0,18","1,24","6,27","0,46","0,53","2018","41801","TERUEL","Cabecera municipal",
"41","HUILA","1,84","0,47","2,98","7,75","0,58","1,53","2018","41807","TIMANA","Cabecera municipal",
"41","HUILA","2,65","2,99","6,56","15,31","1,68","2,73","2018","41872","VILLAVIEJA","Cabecera municipal",
"41","HUILA","0,99","0,23","1,68","8,4","0,55","1,07","2018","41885","YAGUARA","Cabecera municipal",
"41","HUILA","3,96","0,62","3,45","12,86","1,77","2,04","2018","41001","NEIVA","Resto",
"41","HUILA","3,29","2,6","5,27","20,43","2,77","2,61","2018","41006","ACEVEDO","Resto",
"41","HUILA","1,18","4,92","3,34","19,44","1,75","2,02","2018","41013","AGRADO","Resto",
"41","HUILA","2,41","2,41","4,63","17,15","1,87","2,15","2018","41016","AIPE","Resto",
"41","HUILA","3,05","3,83","5,89","20,62","2,44","3,25","2018","41020","ALGECIRAS","Resto",
"41","HUILA","2,03","1,82","0,56","9,25","0,49","1,05","2018","41026","ALTAMIRA","Resto",
"41","HUILA","1,87","10,29","3,61","25,58","1,26","4,53","2018","41078","BARAYA","Resto",
"41","HUILA","4,14","2,09","3,17","16,39","1,36","2,06","2018","41132","CAMPOALEGRE","Resto",
"41","HUILA","3,59","16,87","4,07","31,96","3,88","8,61","2018","41206","COLOMBIA","Resto",
"41","HUILA","1,05","1,13","0,67","10,33","1,68","0,92","2018","41244","ELIAS","Resto",
"41","HUILA","2,35","0,67","2,37","13,56","2,11","1,48","2018","41298","GARZON","Resto",
"41","HUILA","2,67","0,93","2,51","14,8","1,22","1,33","2018","41306","GIGANTE","Resto",
"41","HUILA","1,56","4,45","5,54","19,63","2,3","3,09","2018","41319","GUADALUPE","Resto",
"41","HUILA","17,92","4,78","28,17","42,98","3,39","15,92","2018","41349","HOBO","Resto",
"41","HUILA","8,63","10,13","4,31","26,63","3,37","6,94","2018","41357","IQUIRA","Resto",
"41","HUILA","4,36","7,01","8,71","21,94","1,64","4,94","2018","41359","ISNOS","Resto",
"41","HUILA","4,09","3,22","6,41","21,4","1,53","3","2018","41378","LA ARGENTINA","Resto",
"41","HUILA","4,04","7,33","8,13","24,43","1,7","4,57","2018","41396","LA PLATA","Resto",
"41","HUILA","8,26","8,28","3","21,23","1,37","4,1","2018","41483","NATAGA","Resto",
"41","HUILA","5,64","0,59","1,69","19,44","2,4","1,94","2018","41503","OPORAPA","Resto",
"41","HUILA","3,7","3,33","1,65","15,55","0,61","1,76","2018","41518","PAICOL","Resto",
"41","HUILA","2,01","0,74","3,86","11,61","1,32","1,55","2018","41524","PALERMO","Resto",
"41","HUILA","5,46","4,87","3,06","20,78","1,18","3,09","2018","41530","PALESTINA","Resto",
"41","HUILA","2,31","4,47","3,53","18,17","2,6","1,86","2018","41548","PITAL","Resto",
"41","HUILA","3,48","2,01","2,58","17,61","2,83","2,04","2018","41551","PITALITO","Resto",
"41","HUILA","3,73","0,44","2,21","13,21","1,92","1,5","2018","41615","RIVERA","Resto",
"41","HUILA","4,52","2,04","2,81","22,12","2,11","3,07","2018","41660","SALADOBLANCO","Resto",
"41","HUILA","3,24","4,73","4,15","17,7","1,5","2,5","2018","41668","SAN AGUSTIN","Resto",
"41","HUILA","8,57","3,21","9,31","23,63","1,74","6,01","2018","41676","SANTA MARIA","Resto",
"41","HUILA","2,02","4,03","3,76","17,72","2,27","1,86","2018","41770","SUAZA","Resto",
"41","HUILA","3,34","2","2,89","15,13","2,05","2,24","2018","41791","TARQUI","Resto",
"41","HUILA","2,59","1,7","0,73","10,83","0,62","0,8","2018","41797","TESALIA","Resto",
"41","HUILA","3,33","2,78","2,33","14,01","1,64","1,95","2018","41799","TELLO","Resto",
"41","HUILA","3,25","6,22","0,88","16,04","0,91","2,81","2018","41801","TERUEL","Resto",
"41","HUILA","2,52","1,79","1,77","12,07","1,21","1,24","2018","41807","TIMANA","Resto",
"41","HUILA","4,36","2,21","0,92","12,99","0,22","1,18","2018","41872","VILLAVIEJA","Resto",
"41","HUILA","2,45","4,98","2,96","13,68","0","2,45","2018","41885","YAGUARA","Resto",
